program_label,borocode,county,census_tract,code,total_units,number_reported,est_total_occupied,diff_occupied_reported,people_total,id_100,in_floddplain_100,in_floodplain_100,id_500,in_floddplain_500,in_floodplain_500
Housing Choice Vouchers,1.0,New York County,15802.0,36061015802,31.0,24.0,28.52,4.52,27.0,,0,0,,0,0
Housing Choice Vouchers,1.0,New York County,16100.0,36061016100,24.0,19.0,20.16,1.1600000000000001,19.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,16200.0,36061016200,834.0,632.0,758.94,126.94000000000005,977.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,16400.0,36061016400,572.0,456.0,480.47999999999996,24.47999999999996,793.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,16600.0,36061016600,179.0,133.0,168.26,35.25999999999999,184.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,16800.0,36061016800,21.0,16.0,18.69,2.6900000000000013,32.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,16900.0,36061016900,23.0,18.0,19.09,1.0899999999999999,28.0,,0,0,,0,0
Housing Choice Vouchers,1.0,New York County,17000.0,36061017000,429.0,310.0,416.13,106.13,527.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,17100.0,36061017100,245.0,179.0,235.2,56.19999999999999,181.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,17200.0,36061017200,81.0,62.0,72.09,10.090000000000003,147.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,17300.0,36061017300,103.0,74.0,100.94,26.939999999999998,111.0,,0,0,,0,0
Housing Choice Vouchers,1.0,New York County,17401.0,36061017401,156.0,116.0,149.76,33.75999999999999,205.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,17402.0,36061017402,126.0,94.0,117.18,23.180000000000007,157.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,17700.0,36061017700,625.0,487.0,543.75,56.75,842.0,,0,0,,0,0
Housing Choice Vouchers,1.0,New York County,17800.0,36061017800,131.0,101.0,115.28,14.280000000000001,190.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,17900.0,36061017900,91.0,66.0,88.27,22.269999999999996,71.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,18000.0,36061018000,103.0,80.0,89.61,9.61,136.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,18100.0,36061018100,39.0,30.0,35.1,5.100000000000001,45.0,,0,0,,0,0
Housing Choice Vouchers,1.0,New York County,18200.0,36061018200,257.0,205.0,233.87,28.870000000000005,365.0,,0,0,0.0,1,1
Housing Choice Vouchers,1.0,New York County,18300.0,36061018300,84.0,65.0,77.28,12.280000000000001,70.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,18400.0,36061018400,123.0,98.0,105.78,7.780000000000001,175.0,,0,0,0.0,1,1
Housing Choice Vouchers,1.0,New York County,18700.0,36061018700,26.0,19.0,25.22,6.219999999999999,52.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,18800.0,36061018800,328.0,245.0,305.04,60.04000000000002,376.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,18900.0,36061018900,52.0,39.0,47.84,8.840000000000003,58.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,19000.0,36061019000,281.0,220.0,266.95,46.94999999999999,329.0,,0,0,,0,0
